city,datetime,pm25_value
Islamabad,2025-10-05 00:00:00+00:00,41.744421393783
Islamabad,2025-10-05 00:00:00+00:00,41.744421393783
Multan,2025-10-05 00:00:00+00:00,46.26341694990794
Multan,2025-10-05 00:00:00+00:00,46.26341694990794
Lahore,2025-10-05 00:00:00+00:00,18.009999999999998
Rawalpindi,2025-10-05 00:00:00+00:00,49.33112506866456
Faisalabad,2025-10-05 00:00:00+00:00,15.316888883378768
Lahore,2025-10-05 00:00:00+00:00,18.009999999999998
Karachi,2025-10-05 00:00:00+00:00,20.691802102327344
Faisalabad,2025-10-05 00:00:00+00:00,15.316888883378768
Rawalpindi,2025-10-05 00:00:00+00:00,49.33112506866456
Karachi,2025-10-05 00:00:00+00:00,20.691802102327344
Karachi,2025-10-05 01:00:00+00:00,22.237395838896436
Rawalpindi,2025-10-05 01:00:00+00:00,47.34106951819526
Rawalpindi,2025-10-05 01:00:00+00:00,47.34106951819526
Islamabad,2025-10-05 01:00:00+00:00,40.5997501373291
Faisalabad,2025-10-05 01:00:00+00:00,7.678291678428651
Faisalabad,2025-10-05 01:00:00+00:00,7.678291678428651
Karachi,2025-10-05 01:00:00+00:00,22.237395838896436
Islamabad,2025-10-05 01:00:00+00:00,40.5997501373291
Multan,2025-10-05 01:00:00+00:00,44.10708363850912
Multan,2025-10-05 01:00:00+00:00,44.10708363850912
Karachi,2025-10-05 02:00:00+00:00,25.19190624886089
Karachi,2025-10-05 02:00:00+00:00,25.19190624886089
Multan,2025-10-05 02:00:00+00:00,51.667999903361
Lahore,2025-10-05 02:00:00+00:00,13.37
Islamabad,2025-10-05 02:00:00+00:00,37.49624539834482
Islamabad,2025-10-05 02:00:00+00:00,37.49624539834482
Lahore,2025-10-05 02:00:00+00:00,13.37
Multan,2025-10-05 02:00:00+00:00,51.667999903361
Rawalpindi,2025-10-05 02:00:00+00:00,42.857527584499785
Faisalabad,2025-10-05 02:00:00+00:00,18.95299994150797
Rawalpindi,2025-10-05 02:00:00+00:00,42.857527584499785
Faisalabad,2025-10-05 02:00:00+00:00,18.95299994150797
Karachi,2025-10-05 03:00:00+00:00,22.574434529410468
Faisalabad,2025-10-05 03:00:00+00:00,23.815750010808312
Islamabad,2025-10-05 03:00:00+00:00,41.95547676792851
Faisalabad,2025-10-05 03:00:00+00:00,23.815750010808312
Multan,2025-10-05 03:00:00+00:00,36.45166675249735
Multan,2025-10-05 03:00:00+00:00,36.45166675249735
Rawalpindi,2025-10-05 03:00:00+00:00,45.6543610042996
Rawalpindi,2025-10-05 03:00:00+00:00,45.6543610042996
Islamabad,2025-10-05 03:00:00+00:00,41.95547676792851
Karachi,2025-10-05 03:00:00+00:00,22.574434529410468
Faisalabad,2025-10-05 04:00:00+00:00,24.723166656494143
Islamabad,2025-10-05 04:00:00+00:00,36.25626382562849
Islamabad,2025-10-05 04:00:00+00:00,36.25626382562849
Karachi,2025-10-05 04:00:00+00:00,24.029499977827072
Rawalpindi,2025-10-05 04:00:00+00:00,35.19431992636786
Karachi,2025-10-05 04:00:00+00:00,24.029499977827072
Multan,2025-10-05 04:00:00+00:00,32.81729170481364
Lahore,2025-10-05 04:00:00+00:00,12.825
Lahore,2025-10-05 04:00:00+00:00,12.825
Faisalabad,2025-10-05 04:00:00+00:00,24.723166656494143
Rawalpindi,2025-10-05 04:00:00+00:00,35.19431992636786
Multan,2025-10-05 04:00:00+00:00,32.81729170481364
Rawalpindi,2025-10-05 05:00:00+00:00,30.36727786064148
Islamabad,2025-10-05 05:00:00+00:00,31.967509222913677
Multan,2025-10-05 05:00:00+00:00,30.61051382488675
Lahore,2025-10-05 05:00:00+00:00,15.226666666666668
Karachi,2025-10-05 05:00:00+00:00,24.605861112806533
Faisalabad,2025-10-05 05:00:00+00:00,25.763458259900407
Faisalabad,2025-10-05 05:00:00+00:00,25.763458259900407
Islamabad,2025-10-05 05:00:00+00:00,31.967509222913677
Karachi,2025-10-05 05:00:00+00:00,24.605861112806533
Rawalpindi,2025-10-05 05:00:00+00:00,30.36727786064148
Multan,2025-10-05 05:00:00+00:00,30.61051382488675
Lahore,2025-10-05 05:00:00+00:00,15.226666666666668
Multan,2025-10-05 06:00:00+00:00,37.15391687552134
Faisalabad,2025-10-05 06:00:00+00:00,31.667374777793885
Karachi,2025-10-05 06:00:00+00:00,24.876506939199235
Rawalpindi,2025-10-05 06:00:00+00:00,26.24266661802928
Multan,2025-10-05 06:00:00+00:00,37.15391687552134
Lahore,2025-10-05 06:00:00+00:00,15.087333333333332
Rawalpindi,2025-10-05 06:00:00+00:00,26.24266661802928
Lahore,2025-10-05 06:00:00+00:00,15.087333333333332
Karachi,2025-10-05 06:00:00+00:00,24.876506939199235
Faisalabad,2025-10-05 06:00:00+00:00,31.667374777793885
Islamabad,2025-10-05 06:00:00+00:00,28.957708332273693
Islamabad,2025-10-05 06:00:00+00:00,28.957708332273693
Rawalpindi,2025-10-05 07:00:00+00:00,22.5887361129125
Multan,2025-10-05 07:00:00+00:00,40.3836665391922
Multan,2025-10-05 07:00:00+00:00,40.3836665391922
Faisalabad,2025-10-05 07:00:00+00:00,20.87837498188019
Lahore,2025-10-05 07:00:00+00:00,18.437125023206075
Islamabad,2025-10-05 07:00:00+00:00,25.048638916015623
Karachi,2025-10-05 07:00:00+00:00,21.009385416905086
Rawalpindi,2025-10-05 07:00:00+00:00,22.5887361129125
Islamabad,2025-10-05 07:00:00+00:00,25.048638916015623
Faisalabad,2025-10-05 07:00:00+00:00,20.87837498188019
Lahore,2025-10-05 07:00:00+00:00,18.437125023206075
Karachi,2025-10-05 07:00:00+00:00,21.009385416905086
Karachi,2025-10-05 08:00:00+00:00,20.715843748384057
Rawalpindi,2025-10-05 08:00:00+00:00,29.332611015107897
Islamabad,2025-10-05 08:00:00+00:00,23.542347216606142
Lahore,2025-10-05 08:00:00+00:00,13.990197916428247
Lahore,2025-10-05 08:00:00+00:00,13.990197916428247
Rawalpindi,2025-10-05 08:00:00+00:00,29.332611015107897
Multan,2025-10-05 08:00:00+00:00,32.03729182084402
Faisalabad,2025-10-05 08:00:00+00:00,12.843611113230388
Islamabad,2025-10-05 08:00:00+00:00,23.542347216606142
Multan,2025-10-05 08:00:00+00:00,32.03729182084402
Faisalabad,2025-10-05 08:00:00+00:00,12.843611113230388
Karachi,2025-10-05 08:00:00+00:00,20.715843748384057
Rawalpindi,2025-10-05 09:00:00+00:00,28.71279158327314
Faisalabad,2025-10-05 09:00:00+00:00,16.44862498442332
Islamabad,2025-10-05 09:00:00+00:00,23.96262499756283
Multan,2025-10-05 09:00:00+00:00,30.77737494309743
