datetime,pm25_predicted,pm25_lower,pm25_upper,aqi_predicted,aqi_category
2026-01-02 16:00:00+00:00,228.4448240241144,194.17810042049726,262.7115476277316,278,Very Unhealthy
2026-01-02 17:00:00+00:00,229.93070702421346,195.44110097058143,264.4203130778455,280,Very Unhealthy
2026-01-02 18:00:00+00:00,232.49115356090556,197.61748052676973,267.3648265950414,282,Very Unhealthy
2026-01-02 19:00:00+00:00,235.32437053921163,200.0257149583299,270.62302612009336,285,Very Unhealthy
2026-01-02 20:00:00+00:00,235.1473543838148,199.87525122624257,270.41945754138703,285,Very Unhealthy
2026-01-02 21:00:00+00:00,234.93469430575172,199.69449015988897,270.17489845161447,285,Very Unhealthy
2026-01-02 22:00:00+00:00,232.62628896006677,197.73234561605676,267.5202323040768,282,Very Unhealthy
2026-01-02 23:00:00+00:00,232.15055454226155,197.3279713609223,266.97313772360076,282,Very Unhealthy
2026-01-03 00:00:00+00:00,232.92411698325466,197.98549943576646,267.86273453074284,283,Very Unhealthy
2026-01-03 01:00:00+00:00,232.52127431387072,197.64308316679012,267.3994654609513,282,Very Unhealthy
2026-01-03 02:00:00+00:00,236.81629869194185,201.29385388815058,272.3387434957331,287,Very Unhealthy
2026-01-03 03:00:00+00:00,236.86124487997236,201.3320581479765,272.3904316119682,287,Very Unhealthy
2026-01-03 04:00:00+00:00,230.4532108369961,195.8852292114467,265.0211924625455,280,Very Unhealthy
2026-01-03 05:00:00+00:00,214.35509308221,182.2018291198785,246.5083570445415,264,Very Unhealthy
2026-01-03 06:00:00+00:00,200.5266976262662,170.4476929823263,230.60570227020614,251,Very Unhealthy
2026-01-03 07:00:00+00:00,192.81633132324163,163.89388162475538,221.73878102172787,243,Very Unhealthy
2026-01-03 08:00:00+00:00,187.08314937398464,159.02067696788694,215.14562178008234,237,Very Unhealthy
2026-01-03 09:00:00+00:00,185.29096405679627,157.49731944827684,213.0846086653157,235,Very Unhealthy
2026-01-03 10:00:00+00:00,184.3743617320895,156.71820747227608,212.03051599190294,235,Very Unhealthy
2026-01-03 11:00:00+00:00,187.00816938507836,158.9569439773166,215.05939479284012,237,Very Unhealthy
2026-01-03 12:00:00+00:00,194.29695041802393,165.15240785532035,223.4414929807275,244,Very Unhealthy
2026-01-03 13:00:00+00:00,206.98485637047438,175.93712791490321,238.03258482604554,257,Very Unhealthy
2026-01-03 14:00:00+00:00,217.3627230419889,184.75831458569056,249.96713149828722,267,Very Unhealthy
2026-01-03 15:00:00+00:00,224.3651610864874,190.7103869235143,258.0199352494605,274,Very Unhealthy
2026-01-03 16:00:00+00:00,228.44754324268797,194.18041175628477,262.71467472909114,278,Very Unhealthy
2026-01-03 17:00:00+00:00,229.933426242787,195.44341230636894,264.42344017920504,280,Very Unhealthy
2026-01-03 18:00:00+00:00,232.49387277947912,197.61979186255724,267.367953696401,282,Very Unhealthy
2026-01-03 19:00:00+00:00,235.3270897577852,200.0280262941174,270.62615322145297,285,Very Unhealthy
2026-01-03 20:00:00+00:00,235.15007360238835,199.8775625620301,270.4225846427466,285,Very Unhealthy
2026-01-03 21:00:00+00:00,234.93741352432528,199.69680149567648,270.1780255529741,285,Very Unhealthy
2026-01-03 22:00:00+00:00,232.62900817864033,197.73465695184427,267.5233594054364,282,Very Unhealthy
2026-01-03 23:00:00+00:00,232.1532737608351,197.33028269670984,266.97626482496037,282,Very Unhealthy
2026-01-04 00:00:00+00:00,232.92683620182822,197.987810771554,267.86586163210245,283,Very Unhealthy
2026-01-04 01:00:00+00:00,232.52399353244428,197.64539450257763,267.40259256231093,282,Very Unhealthy
2026-01-04 02:00:00+00:00,236.81901791051538,201.2961652239381,272.3418705970927,287,Very Unhealthy
2026-01-04 03:00:00+00:00,236.86396409854592,201.33436948376402,272.3935587133278,287,Very Unhealthy
2026-01-04 04:00:00+00:00,230.45593005556967,195.8875405472342,265.0243195639051,280,Very Unhealthy
2026-01-04 05:00:00+00:00,214.35781230078356,182.20414045566602,246.5114841459011,264,Very Unhealthy
2026-01-04 06:00:00+00:00,200.52941684483977,170.4500043181138,230.60882937156575,251,Very Unhealthy
2026-01-04 07:00:00+00:00,192.81905054181516,163.8961929605429,221.74190812308743,243,Very Unhealthy
2026-01-04 08:00:00+00:00,187.0858685925582,159.02298830367448,215.14874888144192,237,Very Unhealthy
2026-01-04 09:00:00+00:00,185.29368327536983,157.49963078406435,213.0877357666753,235,Very Unhealthy
2026-01-04 10:00:00+00:00,184.37708095066307,156.72051880806362,212.03364309326253,235,Very Unhealthy
2026-01-04 11:00:00+00:00,187.01088860365192,158.95925531310414,215.0625218941997,237,Very Unhealthy
2026-01-04 12:00:00+00:00,194.29966963659749,165.15471919110786,223.4446200820871,244,Very Unhealthy
2026-01-04 13:00:00+00:00,206.98757558904794,175.93943925069075,238.03571192740512,257,Very Unhealthy
2026-01-04 14:00:00+00:00,217.36544226056245,184.7606259214781,249.9702585996468,267,Very Unhealthy
2026-01-04 15:00:00+00:00,224.36788030506096,190.71269825930182,258.0230623508201,274,Very Unhealthy
