datetime,pm25_predicted,pm25_lower,pm25_upper,aqi_predicted,aqi_category
2026-01-02 16:00:00+00:00,183.8410903017538,156.26492675649075,211.41725384701687,234,Very Unhealthy
2026-01-02 17:00:00+00:00,185.1575057947062,157.38387992550025,212.93113166391214,235,Very Unhealthy
2026-01-02 18:00:00+00:00,186.93676925142174,158.89625386370847,214.977284639135,237,Very Unhealthy
2026-01-02 19:00:00+00:00,187.55131882048283,159.41862099741041,215.68401664355525,238,Very Unhealthy
2026-01-02 20:00:00+00:00,187.29072704805,159.19711799084251,215.3843361052575,237,Very Unhealthy
2026-01-02 21:00:00+00:00,187.00029759560607,158.95025295626516,215.05034223494698,237,Very Unhealthy
2026-01-02 22:00:00+00:00,185.39821981812824,157.588486845409,213.2079527908475,236,Very Unhealthy
2026-01-02 23:00:00+00:00,187.51207187550952,159.38526109418308,215.63888265683596,238,Very Unhealthy
2026-01-03 00:00:00+00:00,187.4301785661531,159.31565178123014,215.54470535107606,238,Very Unhealthy
2026-01-03 01:00:00+00:00,188.7830733233178,160.46561232482014,217.10053432181547,239,Very Unhealthy
2026-01-03 02:00:00+00:00,190.50410269768497,161.92848729303222,219.07971810233772,241,Very Unhealthy
2026-01-03 03:00:00+00:00,198.71571629825002,168.9083588535125,228.52307374298752,249,Very Unhealthy
2026-01-03 04:00:00+00:00,190.2226121645614,161.6892203398772,218.7560039892456,240,Very Unhealthy
2026-01-03 05:00:00+00:00,178.51708478305343,151.73952206559542,205.29464750051145,229,Very Unhealthy
2026-01-03 06:00:00+00:00,171.12653335684172,145.45755335331546,196.79551336036798,221,Very Unhealthy
2026-01-03 07:00:00+00:00,165.36910570829036,140.5637398520468,190.17447156453392,216,Very Unhealthy
2026-01-03 08:00:00+00:00,160.79172296691087,136.67296452187423,184.9104814119475,211,Very Unhealthy
2026-01-03 09:00:00+00:00,157.77273334489618,134.10682334316175,181.4386433466306,208,Very Unhealthy
2026-01-03 10:00:00+00:00,157.3898870585893,133.7814039998009,180.9983701173777,208,Very Unhealthy
2026-01-03 11:00:00+00:00,159.17439002980322,135.29823152533274,183.0505485342737,210,Very Unhealthy
2026-01-03 12:00:00+00:00,164.59602891716324,139.90662457958877,189.2854332547377,215,Very Unhealthy
2026-01-03 13:00:00+00:00,169.61220104733815,144.17037089023742,195.05403120443887,220,Very Unhealthy
2026-01-03 14:00:00+00:00,174.81175933314026,148.58999543316924,201.03352323311128,225,Very Unhealthy
2026-01-03 15:00:00+00:00,179.9873129176729,152.98921598002198,206.98540985532384,230,Very Unhealthy
2026-01-03 16:00:00+00:00,183.84264204000752,156.2662457340064,211.41903834600865,234,Very Unhealthy
2026-01-03 17:00:00+00:00,185.1590575329599,157.38519890301592,212.9329161629039,235,Very Unhealthy
2026-01-03 18:00:00+00:00,186.93832098967545,158.89757284122413,214.97906913812676,237,Very Unhealthy
2026-01-03 19:00:00+00:00,187.55287055873654,159.41993997492605,215.68580114254704,238,Very Unhealthy
2026-01-03 20:00:00+00:00,187.2922787863037,159.19843696835815,215.38612060424927,237,Very Unhealthy
2026-01-03 21:00:00+00:00,187.00184933385978,158.95157193378083,215.05212673393874,237,Very Unhealthy
2026-01-03 22:00:00+00:00,185.39977155638198,157.5898058229247,213.20973728983927,236,Very Unhealthy
2026-01-03 23:00:00+00:00,187.51362361376323,159.38658007169875,215.6406671558277,238,Very Unhealthy
2026-01-04 00:00:00+00:00,187.4317303044068,159.31697075874578,215.54648985006784,238,Very Unhealthy
2026-01-04 01:00:00+00:00,188.78462506157155,160.4669313023358,217.10231882080728,239,Very Unhealthy
2026-01-04 02:00:00+00:00,190.50565443593868,161.92980627054789,219.08150260132948,241,Very Unhealthy
2026-01-04 03:00:00+00:00,198.71726803650373,168.90967783102818,228.52485824197927,249,Very Unhealthy
2026-01-04 04:00:00+00:00,190.22416390281512,161.69053931739285,218.7577884882374,240,Very Unhealthy
2026-01-04 05:00:00+00:00,178.51863652130714,151.74084104311106,205.29643199950323,229,Very Unhealthy
2026-01-04 06:00:00+00:00,171.12808509509543,145.45887233083113,196.79729785935973,221,Very Unhealthy
2026-01-04 07:00:00+00:00,165.37065744654407,140.56505882956247,190.17625606352567,216,Very Unhealthy
2026-01-04 08:00:00+00:00,160.79327470516458,136.6742834993899,184.91226591093925,211,Very Unhealthy
2026-01-04 09:00:00+00:00,157.77428508314992,134.10814232067744,181.4404278456224,208,Very Unhealthy
2026-01-04 10:00:00+00:00,157.391438796843,133.78272297731655,181.00015461636946,208,Very Unhealthy
2026-01-04 11:00:00+00:00,159.17594176805693,135.29955050284838,183.05233303326548,210,Very Unhealthy
2026-01-04 12:00:00+00:00,164.59758065541698,139.90794355710443,189.28721775372952,215,Very Unhealthy
2026-01-04 13:00:00+00:00,169.61375278559186,144.1716898677531,195.05581570343062,220,Very Unhealthy
