datetime,pm25_predicted,pm25_lower,pm25_upper,aqi_predicted,aqi_category
2026-01-02 16:00:00+00:00,170.65014086051073,145.05261973143413,196.24766198958733,221,Very Unhealthy
2026-01-02 17:00:00+00:00,170.0723792275799,144.5615223434429,195.58323611171687,220,Very Unhealthy
2026-01-02 18:00:00+00:00,171.34968095262752,145.6472288097334,197.05213309552164,222,Very Unhealthy
2026-01-02 19:00:00+00:00,170.07480992968922,144.56358844023583,195.5860314191426,220,Very Unhealthy
2026-01-02 20:00:00+00:00,166.6957428469421,141.69138141990078,191.7001042739834,217,Very Unhealthy
2026-01-02 21:00:00+00:00,164.354428933281,139.70126459328887,189.00759327327316,215,Very Unhealthy
2026-01-02 22:00:00+00:00,163.24506725870486,138.75830716989913,187.7318273475106,214,Very Unhealthy
2026-01-02 23:00:00+00:00,162.60018518272886,138.21015740531953,186.9902129601382,213,Very Unhealthy
2026-01-03 00:00:00+00:00,162.11299344362374,137.79604442708018,186.4299424601673,213,Very Unhealthy
2026-01-03 01:00:00+00:00,161.18331453162443,137.00581735188078,185.3608117113681,212,Very Unhealthy
2026-01-03 02:00:00+00:00,165.500614059901,140.67552195091585,190.32570616888617,216,Very Unhealthy
2026-01-03 03:00:00+00:00,164.86668870195194,140.13668539665915,189.59669200724474,215,Very Unhealthy
2026-01-03 04:00:00+00:00,161.81304346924767,137.54108694886054,186.0849999896348,212,Very Unhealthy
2026-01-03 05:00:00+00:00,154.46685785260894,131.2968291747176,177.63688653050028,205,Very Unhealthy
2026-01-03 06:00:00+00:00,147.1929046149462,125.11396892270427,169.27184030718814,198,Unhealthy
2026-01-03 07:00:00+00:00,145.01619869871854,123.26376889391076,166.76862850352632,197,Unhealthy
2026-01-03 08:00:00+00:00,141.5903372489485,120.35178666160621,162.82888783629076,195,Unhealthy
2026-01-03 09:00:00+00:00,139.63067140933563,118.68607069793529,160.57527212073597,194,Unhealthy
2026-01-03 10:00:00+00:00,139.12154910762837,118.25331674148411,159.9897814737726,194,Unhealthy
2026-01-03 11:00:00+00:00,140.74516566115736,119.63339081198376,161.85694051033096,195,Unhealthy
2026-01-03 12:00:00+00:00,147.1395343915253,125.0686042327965,169.2104645502541,198,Unhealthy
2026-01-03 13:00:00+00:00,157.90126282167677,134.21607339842524,181.5864522449283,208,Very Unhealthy
2026-01-03 14:00:00+00:00,166.3016347057929,141.35638949992398,191.24687991166184,217,Very Unhealthy
2026-01-03 15:00:00+00:00,170.1770730592174,144.6505121003348,195.70363401810002,220,Very Unhealthy
2026-01-03 16:00:00+00:00,170.65068529001306,145.0530824965111,196.248288083515,221,Very Unhealthy
2026-01-03 17:00:00+00:00,170.0729236570822,144.56198510851988,195.58386220564455,220,Very Unhealthy
2026-01-03 18:00:00+00:00,171.35022538212985,145.64769157481038,197.05275918944932,222,Very Unhealthy
2026-01-03 19:00:00+00:00,170.07535435919155,144.5640512053128,195.5866575130703,220,Very Unhealthy
2026-01-03 20:00:00+00:00,166.69628727644442,141.69184418497775,191.7007303679111,217,Very Unhealthy
2026-01-03 21:00:00+00:00,164.35497336278334,139.70172735836584,189.00821936720084,215,Very Unhealthy
2026-01-03 22:00:00+00:00,163.24561168820716,138.7587699349761,187.73245344143822,214,Very Unhealthy
2026-01-03 23:00:00+00:00,162.60072961223116,138.21062017039648,186.99083905406584,213,Very Unhealthy
2026-01-04 00:00:00+00:00,162.11353787312606,137.79650719215715,186.43056855409498,213,Very Unhealthy
2026-01-04 01:00:00+00:00,161.18385896112676,137.00628011695775,185.36143780529576,212,Very Unhealthy
2026-01-04 02:00:00+00:00,165.50115848940334,140.67598471599283,190.32633226281385,216,Very Unhealthy
2026-01-04 03:00:00+00:00,164.86723313145427,140.13714816173612,189.59731810117242,215,Very Unhealthy
2026-01-04 04:00:00+00:00,161.81358789875,137.5415497139375,186.0856260835625,212,Very Unhealthy
2026-01-04 05:00:00+00:00,154.46740228211127,131.29729193979458,177.63751262442796,205,Very Unhealthy
2026-01-04 06:00:00+00:00,147.19344904444853,125.11443168778125,169.27246640111582,198,Unhealthy
2026-01-04 07:00:00+00:00,145.01674312822087,123.26423165898774,166.769254597454,197,Unhealthy
2026-01-04 08:00:00+00:00,141.5908816784508,120.35224942668319,162.82951393021844,195,Unhealthy
2026-01-04 09:00:00+00:00,139.63121583883796,118.68653346301227,160.57589821466365,194,Unhealthy
2026-01-04 10:00:00+00:00,139.1220935371307,118.25377950656109,159.9904075677003,194,Unhealthy
2026-01-04 11:00:00+00:00,140.74571009065966,119.6338535770607,161.8575666042586,195,Unhealthy
2026-01-04 12:00:00+00:00,147.1400788210276,125.06906699787346,169.21109064418175,198,Unhealthy
2026-01-04 13:00:00+00:00,157.9018072511791,134.21653616350224,181.58707833885595,208,Very Unhealthy
2026-01-04 14:00:00+00:00,166.30217913529523,141.35685226500095,191.2475060055895,217,Very Unhealthy
2026-01-04 15:00:00+00:00,170.17761748871973,144.65097486541177,195.7042601120277,221,Very Unhealthy
2026-01-04 16:00:00+00:00,170.65122971951538,145.05354526158808,196.24891417744269,221,Very Unhealthy
2026-01-04 17:00:00+00:00,170.07346808658454,144.56244787359685,195.58448829957223,220,Very Unhealthy
2026-01-04 18:00:00+00:00,171.35076981163218,145.64815433988736,197.053385283377,222,Very Unhealthy
2026-01-04 19:00:00+00:00,170.07589878869388,144.56451397038978,195.58728360699797,220,Very Unhealthy
2026-01-04 20:00:00+00:00,166.69683170594675,141.69230695005473,191.70135646183877,217,Very Unhealthy
